LIGA,MATCHDAY,DATE,TIME_ZAPAS,HOMETEAM,AWAYTEAM,COACH,ATTENDANCE,SEASON,HOME,ID,TIME,TEMPERATURE,RAIN,SNOWFALL,PRECIPITATION,ATRAKTIVITA_VSTUPNE,ATRAKTIVITA_FANOUS,VERNOSTNI_SYSTEM,DAY_OF_WEEK,MONTH,UEFA_VAHA,TEMP_KATEGORIE,SRAZKY_KATEGORIE,POCASI_KATEGORIE,POCASI_LABEL
Chance Liga,19,2018-03-04,18:00:00.000,Sparta Prague,Zbrojovka Brno,Andrea Stramaccioni,7513,2017/2018,Sparta Prague,25,2018-03-04 18:00:00,2.7,0.0,0.0,0.0,3.0,3.0,0,6,3,0,4,1,4,4_Nepříjemné
Chance Liga,21,2018-03-17,17:30:00.000,Sparta Prague,Slavia Praha,Pavel Hapal,17034,2017/2018,Sparta Prague,25,2018-03-17 17:00:00,-3.2,0.0,0.07,0.1,1.0,1.0,0,5,3,0,5,2,5,5_Extrém
Chance Liga,23,2018-04-07,15:00:00.000,Sparta Prague,Dukla Prague,Pavel Hapal,11123,2017/2018,Sparta Prague,25,2018-04-07 15:00:00,18.8,0.0,0.0,0.0,3.0,3.0,0,5,4,0,1,1,1,1_Ideální počasí
Chance Liga,25,2018-04-20,20:15:00.000,Sparta Prague,Jablonec,Pavel Hapal,12289,2017/2018,Sparta Prague,25,2018-04-20 20:00:00,18.3,0.0,0.0,0.0,3.0,3.0,0,4,4,0,1,1,1,1_Ideální počasí
Chance Liga,27,2018-05-04,19:15:00.000,Sparta Prague,Zlin,Pavel Hapal,9437,2017/2018,Sparta Prague,25,2018-05-04 19:00:00,17.5,0.0,0.0,0.0,3.0,4.0,0,4,5,0,1,1,1,1_Ideální počasí
Chance Liga,29,2018-05-19,16:00:00.000,Sparta Prague,Sigma Olomouc,Pavel Hapal,14297,2017/2018,Sparta Prague,25,2018-05-19 16:00:00,19.3,0.0,0.0,0.0,3.0,2.0,0,5,5,0,1,1,1,1_Ideální počasí
MOL Cup,Round of 16,2017-10-25,17:00:00.000,Sparta Prague,Banik Ostrava,Andrea Stramaccioni,4213,2017/2018,Sparta Prague,25,2017-10-25 17:00:00,15.4,0.0,0.0,0.0,2.0,1.0,0,2,10,0,1,1,1,1_Ideální počasí
Chance Liga,1,2016-07-30,20:15:00.000,Sparta Prague,Slovacko,Zdenek Scasny,7181,2016/2017,Sparta Prague,25,2016-07-30 20:00:00,24.6,0.0,0.0,0.0,3.0,3.0,0,5,7,0,2,1,2,2_V pohodě
Chance Liga,4,2016-08-21,19:30:00.000,Sparta Prague,Jablonec,Zdenek Scasny,8336,2016/2017,Sparta Prague,25,2016-08-21 19:00:00,21.2,0.0,0.0,0.0,3.0,3.0,0,6,8,0,1,1,1,1_Ideální počasí
Chance Liga,6,2016-09-10,15:00:00.000,Sparta Prague,Mlada Boleslav,Zdenek Scasny,14091,2016/2017,Sparta Prague,25,2016-09-10 15:00:00,28.2,0.0,0.0,0.0,3.0,2.0,0,5,9,0,3,1,3,3_Hraniční komfort
Chance Liga,8,2016-09-25,15:30:00.000,Sparta Prague,Slavia Praha,Zdenek Scasny,18397,2016/2017,Sparta Prague,25,2016-09-25 15:00:00,21.0,0.0,0.0,0.0,1.0,1.0,0,6,9,0,1,1,1,1_Ideální počasí
Chance Liga,10,2016-10-16,15:00:00.000,Sparta Prague,Jihlava,David Holoubek,8447,2016/2017,Sparta Prague,25,2016-10-16 15:00:00,16.4,0.0,0.0,0.0,3.0,3.0,0,6,10,0,1,1,1,1_Ideální počasí
Chance Liga,12,2016-10-29,15:00:00.000,Sparta Prague,Pribram,David Holoubek,7109,2016/2017,Sparta Prague,25,2016-10-29 15:00:00,11.3,0.0,0.0,0.0,3.0,4.0,0,5,10,0,2,1,2,2_V pohodě
Chance Liga,14,2016-11-20,15:00:00.000,Sparta Prague,Karvina,David Holoubek,7283,2016/2017,Sparta Prague,25,2016-11-20 15:00:00,10.6,0.0,0.0,0.0,3.0,4.0,0,6,11,0,2,1,2,2_V pohodě
Chance Liga,16,2016-12-03,15:00:00.000,Sparta Prague,Teplice,David Holoubek,7522,2016/2017,Sparta Prague,25,2016-12-03 15:00:00,1.3,0.0,0.0,0.0,3.0,3.0,0,5,12,0,4,1,4,4_Nepříjemné
Chance Liga,17,2017-02-19,17:30:00.000,Sparta Prague,Bohemians 1905,Tomas Pozar,11392,2016/2017,Sparta Prague,25,2017-02-19 17:00:00,7.2,0.0,0.0,0.0,3.0,2.0,0,6,2,0,3,1,3,3_Hraniční komfort
Chance Liga,19,2017-03-04,18:00:00.000,Sparta Prague,Dukla Prague,Tomas Pozar,8936,2016/2017,Sparta Prague,25,2017-03-04 18:00:00,12.6,0.0,0.0,0.0,3.0,3.0,0,5,3,0,2,1,2,2_V pohodě
Chance Liga,21,2017-03-17,20:15:00.000,Sparta Prague,Zlin,Petr Rada,7842,2016/2017,Sparta Prague,25,2017-03-17 20:00:00,8.8,0.0,0.0,0.0,3.0,4.0,0,4,3,0,3,1,3,3_Hraniční komfort
Chance Liga,23,2017-04-09,17:30:00.000,Sparta Prague,Zbrojovka Brno,Petr Rada,8997,2016/2017,Sparta Prague,25,2017-04-09 17:00:00,18.2,0.0,0.0,0.0,3.0,3.0,0,6,4,0,1,1,1,1_Ideální počasí
Chance Liga,25,2017-04-23,17:30:00.000,Sparta Prague,Viktoria Plzeň,Petr Rada,16830,2016/2017,Sparta Prague,25,2017-04-23 17:00:00,8.9,0.0,0.0,0.0,1.0,1.0,0,6,4,0,3,1,3,3_Hraniční komfort
Chance Liga,27,2017-05-07,17:00:00.000,Sparta Prague,Slovan Liberec,Petr Rada,9664,2016/2017,Sparta Prague,25,2017-05-07 17:00:00,16.2,0.0,0.0,0.0,3.0,2.0,0,6,5,0,1,1,1,1_Ideální počasí
Chance Liga,29,2017-05-20,17:00:00.000,Sparta Prague,Hradec Kralove,Petr Rada,8234,2016/2017,Sparta Prague,25,2017-05-20 17:00:00,15.6,0.0,0.0,0.0,3.0,3.0,0,5,5,0,1,1,1,1_Ideální počasí
Chance Liga,2,2015-08-01,15:00:00.000,Sparta Prague,Banik Ostrava,Zdenek Scasny,11021,2015/2016,Sparta Prague,25,2015-08-01 15:00:00,27.8,0.0,0.0,0.0,2.0,1.0,0,5,8,0,3,1,3,3_Hraniční komfort
Chance Liga,3,2015-08-09,19:15:00.000,Sparta Prague,Zlin,Zdenek Scasny,7960,2015/2016,Sparta Prague,25,2015-08-09 19:00:00,28.2,1.4,0.0,1.4,3.0,4.0,0,6,8,0,3,4,4,4_Nepříjemné
Chance Liga,5,2015-08-23,19:15:00.000,Sparta Prague,Dukla Prague,Zdenek Scasny,9142,2015/2016,Sparta Prague,25,2015-08-23 19:00:00,20.6,0.0,0.0,0.0,3.0,3.0,0,6,8,0,1,1,1,1_Ideální počasí
Chance Liga,7,2015-09-20,17:00:00.000,Sparta Prague,Sigma Olomouc,Zdenek Scasny,7722,2015/2016,Sparta Prague,25,2015-09-20 17:00:00,16.1,0.0,0.0,0.0,3.0,2.0,0,6,9,0,1,1,1,1_Ideální počasí
Chance Liga,9,2015-10-04,18:00:00.000,Sparta Prague,Slovacko,Zdenek Scasny,7108,2015/2016,Sparta Prague,25,2015-10-04 18:00:00,16.7,0.0,0.0,0.0,3.0,3.0,0,6,10,0,1,1,1,1_Ideální počasí
Chance Liga,11,2015-10-25,18:00:00.000,Sparta Prague,Bohemians 1905,Zdenek Scasny,10681,2015/2016,Sparta Prague,25,2015-10-25 18:00:00,12.6,0.0,0.0,0.0,3.0,2.0,0,6,10,0,2,1,2,2_V pohodě
Chance Liga,13,2015-11-08,19:00:00.000,Sparta Prague,Teplice,Zdenek Scasny,7766,2015/2016,Sparta Prague,25,2015-11-08 19:00:00,10.2,0.0,0.0,0.0,3.0,3.0,0,6,11,0,2,1,2,2_V pohodě
Chance Liga,15,2015-11-30,19:15:00.000,Sparta Prague,Zbrojovka Brno,Zdenek Scasny,5731,2015/2016,Sparta Prague,25,2015-11-30 19:00:00,6.0,0.9,0.0,0.9,3.0,3.0,0,0,11,0,3,3,3,3_Hraniční komfort
Chance Liga,18,2016-02-21,15:00:00.000,Sparta Prague,Mlada Boleslav,Zdenek Scasny,10120,2015/2016,Sparta Prague,25,2016-02-21 15:00:00,10.8,0.2,0.0,0.2,3.0,2.0,0,6,2,0,2,2,2,2_V pohodě
Chance Liga,20,2016-03-06,15:00:00.000,Sparta Prague,Jablonec,Zdenek Scasny,8935,2015/2016,Sparta Prague,25,2016-03-06 15:00:00,8.5,0.0,0.0,0.0,3.0,3.0,0,6,3,0,3,1,3,3_Hraniční komfort
Chance Liga,22,2016-03-20,19:30:00.000,Sparta Prague,Slavia Praha,Zdenek Scasny,18684,2015/2016,Sparta Prague,25,2016-03-20 19:00:00,6.5,0.0,0.0,0.0,1.0,1.0,0,6,3,0,3,1,3,3_Hraniční komfort
Chance Liga,24,2016-04-10,19:30:00.000,Sparta Prague,Pribram,Zdenek Scasny,7204,2015/2016,Sparta Prague,25,2016-04-10 19:00:00,8.2,0.0,0.0,0.0,3.0,4.0,0,6,4,0,3,1,3,3_Hraniční komfort
Chance Liga,26,2016-04-24,20:00:00.000,Sparta Prague,Viktoria Plzeň,Zdenek Scasny,18371,2015/2016,Sparta Prague,25,2016-04-24 20:00:00,5.7,0.0,0.0,0.0,1.0,1.0,0,6,4,0,3,1,3,3_Hraniční komfort
Chance Liga,28,2016-05-07,15:45:00.000,Sparta Prague,Slovan Liberec,Zdenek Scasny,8817,2015/2016,Sparta Prague,25,2016-05-07 15:00:00,20.7,0.0,0.0,0.0,3.0,2.0,0,5,5,0,1,1,1,1_Ideální počasí
Chance Liga,30,2016-05-14,15:30:00.000,Sparta Prague,Jihlava,Zdenek Scasny,7111,2015/2016,Sparta Prague,25,2016-05-14 15:00:00,17.0,0.0,0.0,0.0,3.0,3.0,0,5,5,0,1,1,1,1_Ideální počasí
UEFA Conference League,Group Stage,2025-10-02,21:00:00.000,Sparta Prague,Shamrock Rovers,Brian Priske,17104,2025/2026,Sparta Prague,25,2025-10-02 21:00:00,7.7,0.0,0.0,0.0,,3.0,1,3,10,3,3,1,3,3_Hraniční komfort
UEFA Conference League,Group Stage,2025-11-06,18:45:00.000,Sparta Prague,Raków,Brian Priske,17688,2025/2026,Sparta Prague,25,2025-11-06 18:00:00,9.2,0.0,0.0,0.0,,2.0,1,3,11,3,3,1,3,3_Hraniční komfort
UEFA Conference League,Group Stage,2025-12-18,21:00:00.000,Sparta Prague,Aberdeen FC,Brian Priske,14343,2025/2026,Sparta Prague,25,2025-12-18 21:00:00,0.0,0.0,0.0,0.0,,3.0,1,3,12,3,4,1,4,4_Nepříjemné
UEFA Conference League,last 16 2nd leg,2026-03-19,21:00:00.000,Sparta Prague,AZ Alkmaar,Brian Priske,18102,2025/2026,Sparta Prague,25,2026-03-19 21:00:00,8.9,0.0,0.0,0.0,,2.0,1,3,3,3,3,1,3,3_Hraniční komfort
UEFA Conference League Qualifiers,Second Round 2nd leg,2025-07-31,20:00:00.000,Sparta Prague,Aktobe,Brian Priske,17235,2025/2026,Sparta Prague,25,2025-07-31 20:00:00,19.4,0.0,0.0,0.0,,4.0,1,3,7,3,1,1,1,1_Ideální počasí
UEFA Conference League Qualifiers,3rd round 1st leg,2025-08-07,20:00:00.000,Sparta Prague,Ararat-Armenia,Brian Priske,17316,2025/2026,Sparta Prague,25,2025-08-07 20:00:00,24.1,0.0,0.0,0.0,,4.0,1,3,8,3,2,1,2,2_V pohodě
UEFA Conference League Qualifiers,Qualifying Round 1st leg,2025-08-21,20:00:00.000,Sparta Prague,Riga,Brian Priske,17168,2025/2026,Sparta Prague,25,2025-08-21 20:00:00,20.1,0.2,0.0,0.2,,3.0,1,3,8,3,1,2,2,2_V pohodě
UEFA Champions League,Group Stage,2024-09-18,18:45:00.000,Sparta Prague,Salzburg,Lars Friis,17612,2024/2025,Sparta Prague,25,2024-09-18 18:00:00,20.6,0.0,0.0,0.0,,1.0,1,2,9,2,1,1,1,1_Ideální počasí
UEFA Champions League,Group Stage,2024-11-06,21:00:00.000,Sparta Prague,Stade Brestois,Lars Friis,18033,2024/2025,Sparta Prague,25,2024-11-06 21:00:00,5.3,0.0,0.0,0.0,,2.0,1,2,11,3,3,1,3,3_Hraniční komfort
UEFA Champions League,Group Stage,2024-11-26,18:45:00.000,Sparta Prague,Atlético,Lars Friis,18110,2024/2025,Sparta Prague,25,2024-11-26 18:00:00,6.1,0.0,0.0,0.0,,1.0,1,1,11,1,3,1,3,3_Hraniční komfort
UEFA Champions League,Group Stage,2025-01-22,21:00:00.000,Sparta Prague,Inter,Lars Friis,18010,2024/2025,Sparta Prague,25,2025-01-22 21:00:00,-2.3,0.0,0.0,0.0,,1.0,1,2,1,1,5,1,5,5_Extrém
UEFA Champions League Qualifying,Second Round 2nd leg,2024-07-30,19:00:00.000,Sparta Prague,Shamrock Rovers,Lars Friis,17367,2024/2025,Sparta Prague,25,2024-07-30 19:00:00,28.2,0.0,0.0,0.0,,3.0,1,1,7,3,3,1,3,3_Hraniční komfort
UEFA Champions League Qualifying,3rd round 1st leg,2024-08-06,20:00:00.000,Sparta Prague,FCSB,Lars Friis,17229,2024/2025,Sparta Prague,25,2024-08-06 20:00:00,22.1,0.0,0.0,0.0,,3.0,1,1,8,3,1,1,1,1_Ideální počasí
UEFA Champions League Qualifying,Qualifying Round 2nd leg,2024-08-27,21:00:00.000,Sparta Prague,Malmö,Lars Friis,18215,2024/2025,Sparta Prague,25,2024-08-27 21:00:00,21.1,0.0,0.0,0.0,,2.0,1,1,8,2,1,1,1,1_Ideální počasí
UEFA Europa League,Group C,2023-09-21,21:00:00.000,Sparta Prague,Aris Limassol,Brian Priske,17371,2023/2024,Sparta Prague,25,2023-09-21 21:00:00,19.3,0.0,0.0,0.0,,3.0,1,3,9,2,1,1,1,1_Ideální počasí
UEFA Europa League,Group C,2023-10-26,18:45:00.000,Sparta Prague,Rangers,Brian Priske,18250,2023/2024,Sparta Prague,25,2023-10-26 18:00:00,13.1,0.0,0.0,0.0,,2.0,1,3,10,2,2,1,2,2_V pohodě
UEFA Europa League,Group C,2023-11-30,18:45:00.000,Sparta Prague,Real Betis,Brian Priske,18095,2023/2024,Sparta Prague,25,2023-11-30 18:00:00,-0.3,0.0,0.0,0.0,,2.0,1,3,11,2,5,1,5,5_Extrém
UEFA Europa League,intermediate stage 2nd leg,2024-02-22,21:00:00.000,Sparta Prague,Galatasaray,Brian Priske,18250,2023/2024,Sparta Prague,25,2024-02-22 21:00:00,10.0,0.2,0.0,0.2,,1.0,1,3,2,2,2,2,2,2_V pohodě
UEFA Europa League,last 16 1st leg,2024-03-07,18:45:00.000,Sparta Prague,Liverpool,Brian Priske,18349,2023/2024,Sparta Prague,25,2024-03-07 18:00:00,5.7,0.0,0.0,0.0,,1.0,1,3,3,1,3,1,3,3_Hraniční komfort
UEFA Europa League Qualifying,Qualifying Round 2nd leg,2023-08-31,19:00:00.000,Sparta Prague,Dinamo Zagreb,Brian Priske,17953,2023/2024,Sparta Prague,25,2023-08-31 19:00:00,17.5,0.0,0.0,0.0,,1.0,1,3,8,2,1,1,1,1_Ideální počasí
UEFA Champions League Qualifying,3rd round 2nd leg,2023-08-15,19:00:00.000,Sparta Prague,Copenhagen,Brian Priske,18109,2023/2024,Sparta Prague,25,2023-08-15 19:00:00,29.4,0.0,0.0,0.0,,1.0,1,1,8,2,3,1,3,3_Hraniční komfort
UEFA Conference League Qualifiers,Second Round 1st leg,2022-07-21,19:00:00.000,Sparta Prague,Viking FK,Brian Priske,12667,2022/2023,Sparta Prague,25,2022-07-21 19:00:00,25.0,0.0,0.0,0.0,,3.0,1,3,7,2,2,1,2,2_V pohodě
UEFA Europa League Qualifying,Second Round 2nd leg,2018-08-02,19:00:00.000,Sparta Prague,Spartak,Zdenek Scasny,12068,2018/2019,Sparta Prague,25,2018-08-02 19:00:00,32.5,0.0,0.0,0.0,3.0,3.0,0,3,8,3,5,1,5,5_Extrém
UEFA Europa League Qualifying,3rd round 2nd leg,2017-08-03,19:00:00.000,Sparta Prague,Red Star,Andrea Stramaccioni,16808,2017/2018,Sparta Prague,25,2017-08-03 19:00:00,24.5,0.0,0.0,0.0,,2.0,0,3,8,2,2,1,2,2_V pohodě
UEFA Europa League,group K,2016-09-29,19:00:00.000,Sparta Prague,Inter,David Holoubek,14651,2016/2017,Sparta Prague,25,2016-09-29 19:00:00,20.5,0.0,0.0,0.0,,1.0,0,3,9,1,1,1,1,1_Ideální počasí
UEFA Europa League,group K,2016-11-03,21:05:00.000,Sparta Prague,H. Beer Sheva,David Holoubek,12891,2016/2017,Sparta Prague,25,2016-11-03 21:00:00,3.1,0.0,0.0,0.0,,3.0,0,3,11,3,4,1,4,4_Nepříjemné
UEFA Europa League,group K,2016-11-24,19:00:00.000,Sparta Prague,Southampton,David Holoubek,17429,2016/2017,Sparta Prague,25,2016-11-24 19:00:00,7.7,0.0,0.0,0.0,,2.0,0,3,11,2,3,1,3,3_Hraniční komfort
UEFA Europa League,intermediate stage 2nd leg,2017-02-23,21:05:00.000,Sparta Prague,Rostov,Tomas Pozar,13413,2016/2017,Sparta Prague,25,2017-02-23 21:00:00,12.7,0.0,0.0,0.0,,4.0,0,3,2,3,2,1,2,2_V pohodě
UEFA Europa League Qualifying,Qualifying Round 2nd leg,2016-08-25,20:00:00.000,Sparta Prague,SönderjyskE,Zdenek Scasny,13685,2016/2017,Sparta Prague,25,2016-08-25 20:00:00,24.0,0.0,0.0,0.0,,3.0,0,3,8,3,1,1,1,1_Ideální počasí
UEFA Champions League Qualifying,3rd round 1st leg,2016-07-26,20:00:00.000,Sparta Prague,Steaua Bucharest,Zdenek Scasny,13257,2016/2017,Sparta Prague,25,2016-07-26 20:00:00,22.6,0.0,0.0,0.0,,3.0,0,1,7,3,1,1,1,1_Ideální počasí
UEFA Europa League,group K,2015-10-01,19:00:00.000,Sparta Prague,APOEL Nicosia,Zdenek Scasny,9130,2015/2016,Sparta Prague,25,2015-10-01 19:00:00,12.4,0.0,0.0,0.0,,4.0,0,3,10,3,2,1,2,2_V pohodě
UEFA Europa League,group K,2015-11-05,21:05:00.000,Sparta Prague,FC Schalke 04,Zdenek Scasny,17352,2015/2016,Sparta Prague,25,2015-11-05 21:00:00,7.5,0.0,0.0,0.0,,2.0,0,3,11,1,3,1,3,3_Hraniční komfort
UEFA Europa League,group K,2015-11-26,19:00:00.000,Sparta Prague,Asteras Tripoli,Zdenek Scasny,10140,2015/2016,Sparta Prague,25,2015-11-26 19:00:00,2.8,0.0,0.0,0.0,,4.0,0,3,11,3,4,1,4,4_Nepříjemné
UEFA Europa League,intermediate stage 1st leg,2016-02-18,21:05:00.000,Sparta Prague,Krasnodar,Zdenek Scasny,14120,2015/2016,Sparta Prague,25,2016-02-18 21:00:00,1.9,0.0,0.0,0.0,,4.0,0,3,2,2,4,1,4,4_Nepříjemné
UEFA Europa League,last 16 1st leg,2016-03-10,21:05:00.000,Sparta Prague,Lazio,Zdenek Scasny,17482,2015/2016,Sparta Prague,25,2016-03-10 21:00:00,4.9,0.0,0.0,0.0,,1.0,0,3,3,1,4,1,4,4_Nepříjemné
UEFA Europa League,Quarter-Finals 2nd leg,2016-04-14,21:05:00.000,Sparta Prague,Villarreal,Zdenek Scasny,18201,2015/2016,Sparta Prague,25,2016-04-14 21:00:00,8.8,0.0,0.0,0.0,,1.0,0,3,4,1,3,1,3,3_Hraniční komfort
UEFA Europa League Qualifying,4th round 1st leg,2015-08-20,19:00:00.000,Sparta Prague,FC Thun,Zdenek Scasny,12448,2015/2016,Sparta Prague,25,2015-08-20 19:00:00,20.5,0.0,0.0,0.0,,3.0,0,3,8,3,1,1,1,1_Ideální počasí
UEFA Champions League Qualifying,3rd round 2nd leg,2015-08-05,18:45:00.000,Sparta Prague,CSKA Moscow,Zdenek Scasny,16580,2015/2016,Sparta Prague,25,2015-08-05 18:00:00,30.1,0.0,0.0,0.0,,2.0,0,2,8,2,4,1,4,4_Nepříjemné
MOL Cup,last 16 2nd leg,2015-12-03,17:30:00.000,Sparta Prague,Pardubice,Zdenek Scasny,2528,2015/2016,Sparta Prague,25,2015-12-03 17:00:00,7.8,0.0,0.0,0.0,3.0,4.0,0,3,12,0,3,1,3,3_Hraniční komfort
MOL Cup,Quarter-Finals 2nd leg,2016-03-30,18:00:00.000,Sparta Prague,Slovan Liberec,Zdenek Scasny,2907,2015/2016,Sparta Prague,25,2016-03-30 18:00:00,11.6,0.2,0.0,0.2,3.0,2.0,0,2,3,0,2,2,2,2_V pohodě
MOL Cup,Semi-Finals 2nd Leg,2016-05-04,17:30:00.000,Sparta Prague,Jablonec,Zdenek Scasny,2538,2015/2016,Sparta Prague,25,2016-05-04 17:00:00,8.9,0.7,0.0,0.7,3.0,3.0,0,2,5,0,3,3,3,3_Hraniční komfort
